comment_id,product_id,title,content,rating,thank_count,customer_id,customer_name_hash,purchased_at,created_at
14649641,359479,Cực kì hài lòng,"Tiki giao hàng rất nhanh. Sớm hơn ngày dự kiến 1 ngày. Giao vào chủ nhật
Hàng đóng gói cẩn thận.
Mình đã *** máy chạy rất ok
Mình mua 2 cái, mỗi cái được giảm mấy chục K, và đều đã kích hoạt bảo hành điện tử chính hãng bằng tin nhắn điện thoại.
5 sao + cho sản phẩm và Tiki!",5,0,17771638,cust_0079893716,1642834690.0,1642935066
13306214,359479,Hài lòng,"Sản phẩm đúng quảng cáo. Đóng hàng vào thùng lót bằng bìa giấy, nên khá lỏng lẻo. KH đã tự kích hoạt bảo hành điện tử thành công. Nhưng phần nhựa liên kết sản phẩm nhìn có kẻ hở ""bự tổ chảng"", mình đánh giá chất lượng hoàn thiện kém!. Xài một thời gian sẽ đánh giá chất lượng SP. Nói chung tạm hài lòng, chưa thích CÁCH ĐÓNG GÓI và MỨC ĐỘ HOÀN THIỆN SẢN PHẨM !. Chúc Tiki và Shop luôn giữ được uy tín với KH!",4,0,5665142,cust_720638264d,1636597566.0,1637312250
12920434,359479,Cực kì hài lòng,"Tốt hơn hẳn mấy loại 3,4 trăm ngàn rất nhiều lần.
Máy bằng kim loại nên hơi nặng, cầm rất chắc tay, lúc chạy không bị rung lắc gì.
Tếng máy chạy lớn hơn máy sấy tóc một chút.
Thử đánh trứng khoảng 7 phút đã được như hình.",5,0,24426085,cust_5ae521e1c9,1635323689.0,1635588458
12096324,359479,Không hài lòng,"Hàng vừa mở ra đã thấy bung mối hàn trong khi hộp bên ngoài nguyên vẹn. Vậy tức là không phải do đơn vị vận chuyển mà do người giao hàng không kiểm hàng trước khi giao. Đặt hàng từ ngày 22, dự kiến giao hàng ngày 31. Mà đến tận ngày mùng 4 mới giao. Lâu hơn giao hàng quốc tế.",2,0,17955295,cust_92e42fe8ce,1629626139.0,1630758154
8470740,359479,Cực kì hài lòng,"Sản phẩm có chất lượng tuyệt vời đúng như mô tả, đóng gói sản phẩm đẹp và chắc chắn, shop phục vụ rất tốt, rất đáng tiền, giao hàng nhanh. p/s: không có thời gian chụp nên mình lấy đỡ hình trên mạng up",5,5,7178520,cust_cd5b037885,1612889862.0,1615968065
5241299,359479,Cực kì hài lòng,Phân vân mãi giữa em philip và e blue và chốt lại là em ý. Máy không nặng như mình nghĩ. Đánh trứng siêu thích. Cảm ơn bạn ship mưa to gió bão vẫn ship đúng giờ cho mình. Cám ơn tiki nhiều. À mà mua đúng lúc flash sale là 539k cộng thêm voucher 30k là mình đã mua chỉ giá 509k và freeship,5,23,1870304,cust_83e1d4b6d5,1602747397.0,1602834168
13484858,359479,Rất không hài lòng,"Không liên quan chất lượng sản phẩm, đánh giá 1 sao vì chế độ hậu mãi, bảo hành và phản hồi của tiki quá kém chất lượng KH phải tự chủ động liên lạc còn tiki thì cứ thờ ơ không xử lý!!?? 
Mua sản phẩm bị lỗi nhà sản xuất và không được bảo hành quyền lợi bắt khách hàng chịu chế độ bảo hành từ nsx mà không được đổi trả. Tiki kém chất lượng khi là sàn thương mại trung gian lớn như vậy!!!",1,0,259445,cust_67c13f0964,1631122309.0,1638071949
13183237,359479,Cực kì hài lòng,"Hồi đầu sợ 300W hơi yếu nhưng mua về mới biết mình đã lầm, máy đánh siêu mạnh luôn, làm sốt dầu trứng ăn bánh tráng tuyệt vời, còn chưa thử chức năng trộn bột xem sao. Điểm trừ là máy khá ồn, mình chưa thử những dòng khác nên không biết mức độ tiếng ồn như vậy là bình thường hay sao nhưng mức âm như vậy với bản thân là rất ồn",5,0,8443345,cust_11d3528d38,1633872237.0,1636830596
12767999,359479,Cực kì hài lòng,"Mua đồ điện tử online mình cũng run, hóng từng ngày cho đến khi khui hàng. Vận chuyển về tỉnh nên hơi lâu, hộp cũng móp méo, nhưng không ảnh hưởng nhiều lắm đến chi tiết bên trong. 
Mình đọc review thấy nhiều bạn gặp vấn đề với cái que đánh trứng nhưng của mình may sao lắp vô ngon lành. Lúc đánh trứng thổi gió ra ghê lắm, em mình đứng xa cả mét vẫn thấy mát :)). Nhờ vậy mà máy không bị nóng nhiều như các máy trước mình dùng. Tốc độ cao và ổn định, đánh kem trứng các loại xíu là xong. Muốn *** độ trâu thì mấy bạn kiếm review nào có làm bánh mì nhan.",5,0,2083315,cust_daf6036350,1632314519.0,1634897491
12546936,359479,Hài lòng,"Máy chạy mạnh, tuy nhiên hơi ồn và cầm  điều chỉnh tắt bật bằng nút gạt hơi bất tiện( cần dụng lực mới gạt đc và cứ bật đánh 3 phút cần ngắt xong mới đánh tiếp). Trong máy ko biết có rơi chi tiết nhỏ ở trong hay sao nghe tiếng lọc cọc tuy nhiên sài vẫn thấy chạy đc.",4,1,11275357,cust_234eb7b971,1632409381.0,1633922702
9423380,359479,Hài lòng,"Mọi thứ đến thời điểm hiện tại là ổn , mình đã *** thử máy qua đọc review của các bạn rất nhiều mình cũng quyết định mua máy này. Nhưng thật tiếc là nhìn chiếc hộp hơi bị móp méo may mà máy không có làm sao . Giá trên tiki cũng ổn",4,0,8911813,cust_816d06efdb,1619123345.0,1619736787
18085301,359479,Bình thường,Đăng ký bảo hành thì báo: số seri không tìm thấy. Cảm thấy không đáng tin về chất lượng lâu dài của sản phẩm. Hiện tại thì chưa có vấn đề nào khác.,3,0,7144438,cust_f92b48f8fe,1667062582.0,1667112361
5621842,359479,Cực kì hài lòng,"Máy chạy rất tốt, đánh trứng bông xốp. máy cầm chắc tay, thiết kế vỏ kim loại nhìn sang và chắc chắn. Săn sale nên chỉ có 503k. Quá rẻ cho một chiếc máy xịn như vậy. Giao hàng nhanh, đóng gói cẩn thận. Sẽ tiếp tục ủng hộ shop ???",5,7,563419,cust_d53136a024,1604896909.0,1605441630
12698973,359479,Cực kì hài lòng,"- Sau 1 vài lần đắng đo thì quyết định tậuuuu e nó để phục vụ đam mê làm bánh :)))
đọc review thấy khá nhiều review oke nên đặt luôn ... và thế là rất ưngggg ;p . Mọi người nên mua nha ^^
- Đóng gói cẩn thận , giao hàng cực nhanh ;p",5,0,21014893,cust_a32de34525,1633346769.0,1634608062
12112574,359479,Cực kì hài lòng,"Máy cầm chắc tay, khoẻ. Mình đọc feedback thấy nhiều người bảo là chạy êm nhưng dùng thử thì thấy tiếng vẫn hơi to. Chỉ vậy thôi, còn với giá này thì hoàn toàn đáng đầu tư nhé. Khuyên mọi người là đừng bật máy quá lâu mà nên có khoảng nghỉ giữa các lần đánh, vừa đỡ mỏi tay vừa tránh cho máy chạy quá tải. Nói chung là ưng ạ.",5,0,5751052,cust_e22cbf52fd,1630638076.0,1630911856
9575840,359479,Cực kì hài lòng,Chưa dùng nên không biết công suất của máy ra sao. Máy móc nguyên đai nguyên tem. Khá chắc chắn. Chưa kiểm tra xem có phải hàng chính hãng hay không.,5,0,17668023,cust_669d804f2f,1620364696.0,1620455272
4112070,359479,Cực kì hài lòng,Mới *** thử 1 lần máy mạnh mức 1 là có thể đánh bông trứng rồi lại còn nhanh nữa. Rất chi là ưng ý. So vs cái máy 90k trc m mua thì đúng là đáng đồng tiền. Chỉ hơi nặng chút nhưng máy đánh nhanh và mạnh thì ok k mỏi tay. Các b nên mua. Về giá thì m thấy rẻ hơn so với các kênh khác nói túm lại là rất hài lòng,5,5,17781740,cust_a80a2d8f3e,1594630261.0,1595038208
12308729,359479,Cực kì hài lòng,"máy đánh rất tốt, siêu mạnh, mẹ mình khen rất nhiều, hy vọng sài bền vì mình tin tưởng tiki trading và thương hiệu lâu năm bluestone nên mua thôi haha",5,0,11221303,cust_55b467156d,1629804671.0,1632474846
5169686,359479,Cực kì hài lòng,"Lần đầu tiên mua máy đánh trứng nên đã tham khảo nhiều nhãn hàng và nhiều comment, rất là hoang mang.
Quyết định mua máy này rồi, và xài lần đầu cho thấy cảm nhận:
1. Giao hàng tiêu chuẩn ngay trong ngày chủ nhật.
2. Máy cầm hơi nặng nhưng không phải là vấn đề, nó còn tạo cảm giác chắc chắn.
3. Yêu cầu chạy 3ph cho máy nghỉ 1 lần, tuân theo cho bền máy, hơn nữa cũng đỡ mỏi tay. Thực sự ra 3ph đấy, máy chỉ hơi ấm rất nhẹ.
4. Đánh bông nhanh. (cảm quan cá nhân)
5. Làm bánh hotdog lần đầu thành công, hơn phân nửa công lao là nhờ cái máy đánh trứng này.
Tuy nhiên máy khá ồn, hay là máy nào cũng vậy? 
=> Nhiều mẫu mã, phản hồi quá, mua được thành công thế này thở phào nhẹ nhõm.",5,5,259810,cust_add8e5cf02,1602359621.0,1602420207
8313919,359479,Cực kì hài lòng,"Máy cầm nặng tay, bảo hành 2 năm là lợi thế, giao hàng nhanh. Chưa dùng nên bình luận về sản phẩm ssu",5,0,7994755,cust_474471db20,1615270321.0,1615380582
10662328,359479,Cực kì hài lòng,ywfeekdj fbfkrdb fbjdjfbfbfhcjcjjcndbrbdbebjeidjxnckekekdn dmdkdkkdkdkdkkdndneieisjebsbsj,5,0,21544728,cust_a4cb759d75,1620143709.0,1624630704
12563803,359479,Cực kì hài lòng,"mh mua săn sale nhập mã giảm giá của shop và tiki nên chỉ còn 510k và miễn phí vận chuyển nữa.
máy này mạnh lắm mh đánh 4 lồng trắng trứng khoảng 3 phút là đã bông đạt. chỉ dùng tới mức 2,3 thui.nhưng máy mạnh nên hơi ồn",5,0,2056673,cust_bc48309ab1,1632488065.0,1634002302
12386509,359479,Hài lòng,Máy đánh trứng ok. Nhưng cầm hơi nặng tay,4,0,1918993,cust_311efb9552,1628357867.0,1633016993
16876105,359479,Cực kì hài lòng,"hàng chất lượng, như mô tả, giao hàng nhanh",5,0,1971306,cust_e263cb1e4a,1654708200.0,1656446204
13362412,359479,Cực kì hài lòng,"Mua máy này cho mẹ. Ban đâu mẹ cũng hơi e ngại vì chưa biết đến thương hiệu này. Khi nhận được máy thì thích lắm. Đánh đầm tay, máy mạnh, giờ mẹ khoái lắm, hay làm bánh này nọ suốt",5,0,187270,cust_6d114f10d9,1636605272.0,1637558257
9705026,359479,Cực kì hài lòng,"Máy dùng tốt, cầm vừa tay. Mỗi tội dây điện hơi ngắn khi dùng phải gần ổ điện.",5,0,7540413,cust_de57b94b14,1620535088.0,1620960439
2510970,359479,Que đánh bị gãy,"Giao hàng rất nhanh, gói hàng cẩn thận
Máy không nặng như mọi người review (chưa dùng đến nên không biết chất lượng như thế nào)
Đáng buồn là mình mình rửa que chuẩn bị làm bánh thì phát hiện có vết nứt, nên mình đưa vài vòi nước thì thấy nó bung như hình.
Mong là lần sau tiki check hàng trước khi giao ạ",2,2,1779663,cust_87157a5fd7,1570502582.0,1570606638
